fact_id,timeframe,applies_to,scope,statement,value,unit,period,source_id,quote,verification,checked_on,note
iea-china-india-44,baseline,crude-gulf-china|crude-gulf-india,chokepoint,China and India combined received 44% of the crude exported through Hormuz in 2025.,44%,share,2025,ieaHormuz,China and India combined received 44% of these exports.,auto,2026-09-14,
iea-japan-korea,baseline,crude-gulf-japan|crude-gulf-korea,importer,IEA countries import about 29% of the crude coming through Hormuz; Japan and Korea are particularly reliant on it.,29%,share,2025,ieaHormuz,"IEA countries import about 29% of the crude oil coming through the Strait, with Japan and Korea particularly reliant on oil flows passing through the Strait.",auto,2026-09-14,
iea-europe-600kb,baseline,crude-gulf-europe-suez|crude-gulf-europe-cape,corridor,"Around 600 kb/d, just 4% of the Gulf’s crude flows, were routed to Europe in 2025.",600,kb/d,2025,ieaHormuz,"Around 600 kb/d, or just 4%, of the region’s crude flows are routed into Europe.",auto,2026-09-14,
iea-saudi-2025,baseline,crude-gulf-china|crude-gulf-japan|crude-gulf-europe-suez|crude-gulf-europe-cape,exporter,Saudi Arabia exported 5.43 mb/d of crude and 0.80 mb/d of products through Hormuz in 2025.,5.43,mb/d,2025,ieaHormuz,Saudi Arabia 5.43 0.80 6.23,auto,2026-09-14,"IEA table row: crude, products, total (mb/d), full year 2025, based on Kpler."
iea-iraq-2025,baseline,crude-gulf-india,exporter,Iraq exported 3.32 mb/d of crude through Hormuz in 2025.,3.32,mb/d,2025,ieaHormuz,Iraq 3.32 0.31 3.63,auto,2026-09-14,"IEA table row: crude, products, total (mb/d), full year 2025, based on Kpler."
iea-uae-2025,baseline,crude-gulf-korea|products-gulf-eafrica|fert-gulf-india,exporter,The UAE exported 2.02 mb/d of crude and 1.22 mb/d of products through Hormuz in 2025.,1.22,mb/d,2025,ieaHormuz,United Arab Emirates 2.02 1.22 3.24,auto,2026-09-14,"IEA table row: crude, products, total (mb/d), full year 2025, based on Kpler."
iea-products-5,baseline,products-gulf-europe,chokepoint,"Around 5 mb/d of oil products were exported via Hormuz in 2025, most of them to Asian markets.",5,mb/d,2025,ieaHormuz,"around 5 mb/d of oil products were exported via the Strait in 2025, with most products destined for Asian markets",auto,2026-09-14,
iea-bypass-capacity,baseline,hormuz|petroline|adcop,infrastructure,The IEA estimates 3.5 to 5.5 mb/d of available pipeline capacity to export Gulf crude while avoiding Hormuz.,5.5,mb/d,2025,ieaHormuz,There is an estimated 3.5 to 5.5 mb/d of available capacity to export crude out of the Gulf on alternative routes,auto,2026-09-14,
eia-bypass-capacity,baseline,hormuz|petroline|adcop,infrastructure,EIA puts the combined bypass capacity of the East-West and Abu Dhabi pipelines at about 4.7 million b/d.,4.7,million b/d,capacity,eiaChokepoints,Saudi Aramco’s East-West crude oil pipeline and the UAE’s Abu Dhabi pipeline together could provide about 4.7 million b/d of capacity to bypass the strait in the event of a supply disruption.,auto,2026-09-14,EIA and IEA estimates differ; both are shown.
iea-hormuz-lng-asia,baseline,lng-qatar-china|lng-qatar-europe,chokepoint,Almost 90% of the LNG exported via Hormuz in 2025 went to Asia; Europe’s share was just over 10%.,90%,share,2025,ieaHormuz,"In 2025, almost 90% of the total volumes exported via the Strait of Hormuz was destined to the Asian market, while the share of Europe was just over 10%.",auto,2026-09-14,
iea-hormuz-lng-share,baseline,hormuz|lng-qatar-china|lng-qatar-europe,importer,LNG shipped via Hormuz covered around 27% of Asia’s LNG imports and around 7% of Europe’s in 2025.,27%,share,2025,ieaHormuz,the share of LNG delivered via the Strait accounted for around 27% of Asia’s total LNG imports in 2025 and for just around 7% of Europe’s total LNG inflows during the same period of time,auto,2026-09-14,
hormuz-fertilizer-share,baseline,hormuz|fert-gulf-brazil|fert-gulf-india,market,In the 2020s the Gulf region has accounted for roughly 30–35% of global urea exports and around 20–30% of ammonia exports.,35%,share,2020s,hormuzCrisis,In the 2020s the region has accounted for roughly 30% – 35% of global urea exports and around 20% – 30% of ammonia exports.,auto,2026-09-14,
malacca-oil-1h25,baseline,malacca,chokepoint,"An estimated 23.2 Mb/d of oil went through Malacca in H1 2025, 29% of maritime oil flows — the largest chokepoint by oil volume.",23.2,Mb/d,H1 2025,eiaChokepoints,"This strait is the primary chokepoint in Asia and Oceania, with an estimated 23.2 million b/d of oil flow in 1H25, equivalent to 29% of total maritime oil flows, and it is the largest chokepoint in the world in terms of oil transit volume.",auto,2026-09-14,
malacca-crude-1h25,baseline,malacca,chokepoint,Crude oil and condensate through Malacca: 16.6 Mb/d in H1 2025.,16.6,Mb/d,H1 2025,eiaChokepoints,Crude oil and condensate 16.4 15.4 16.3 17.1 15.9 16.6,auto,2026-09-14,"EIA table row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
malacca-lng-1h25,baseline,malacca,chokepoint,About 9.2 Bcf/d of LNG flowed through Malacca in H1 2025.,9.2,Bcf/d,H1 2025,eiaChokepoints,"In 1H25, approximately 9.2 billion cubic feet per day (Bcf/d) of liquefied natural gas (LNG) flowed through the Strait of Malacca (Table 2).",auto,2026-09-14,
malacca-qatar-china-lng,baseline,malacca|lng-qatar-china,corridor,"Qatar-to-China LNG made up 28% of all LNG flows through Malacca in H1 2025, up from 14% in 2020.",28%,share,H1 2025,eiaChokepoints,"Flows from Qatar to China more than doubled since 2020, growing from 14% of total LNG flows through the Strait of Malacca in 2020 to 28% in 1H25.",auto,2026-09-14,
malacca-mideast-eastasia,baseline,malacca|crude-gulf-china|crude-gulf-japan|crude-gulf-korea,chokepoint,Most crude crossing Malacca is Middle East oil bound for East Asian countries.,,,H1 2025,eiaChokepoints,Most of the crude oil flows that traverse the Strait of Malacca are destined for East Asian countries from the Middle East (Figure 3).,auto,2026-09-14,
sunda-lombok-alternatives,baseline,sunda|lombok,chokepoint,EIA names the Sunda and Lombok straits as the alternative routes around Malacca.,,,structural,eiaChokepoints,"Alternative routes around the Strait of Malacca include two smaller Pacific Ocean chokepoints in the Indonesian archipelago, the Sunda Strait and the Lombok Strait (Figure 2).",auto,2026-09-14,No sourced volume is available for Sunda or Lombok.
suez-oil-1h25,baseline,suez,chokepoint,"About 4.9 Mb/d of oil transited Suez and SUMED in H1 2025, and an estimated 4.2 Mb/d the Bab el-Mandeb.",4.9,Mb/d,H1 2025,eiaChokepoints,"About 4.9 million b/d of crude oil and petroleum products transited the Suez Canal and the SUMED pipeline in 1H25, and an estimated 4.2 million b/d also transited the Bab el-Mandeb.",auto,2026-09-14,
suez-oil-2023,baseline,suez,chokepoint,Total oil through Suez and SUMED fell from 8.8 Mb/d in 2023 to 4.8 Mb/d in 2024.,8.8,Mb/d,2023,eiaChokepoints,Total oil flows through the Suez Canal and SUMED pipeline 5.4 5.2 7.3 8.8 4.8 4.9,auto,2026-09-14,"EIA table row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
suez-crude-row,baseline,suez|crude-gulf-europe-suez|crude-yanbu-europe,chokepoint,"Crude through Suez and SUMED: 4.5 Mb/d in 2023, 2.8 Mb/d in H1 2025.",2.8,Mb/d,H1 2025,eiaChokepoints,Crude oil and condensate 2.6 2.2 3.6 4.5 3.0 2.8,auto,2026-09-14,"EIA table row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
suez-lng-row,baseline,suez,chokepoint,"LNG through the Suez Canal: 4.1 Bcf/d in 2023, 0.9 Bcf/d in H1 2025.",0.9,Bcf/d,H1 2025,eiaChokepoints,LNG flows through the Suez Canal (billion cubic feet per day) 3.8 4.7 4.6 4.1 0.5 0.9,auto,2026-09-14,"EIA table row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
babelmandeb-row,baseline,babElMandeb,chokepoint,"Oil through Bab el-Mandeb: 9.3 Mb/d in 2023, 4.2 Mb/d in H1 2025.",9.3,Mb/d,2023,eiaChokepoints,Bab el-Mandeb 5.7 6.0 8.0 9.3 4.1 4.2,auto,2026-09-14,"EIA Table 1 row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
babelmandeb-lng-zero,baseline,babElMandeb|lng-qatar-europe,chokepoint,LNG flows via the Bab el-Mandeb were near zero in 2024 and H1 2025.,,,H1 2025,eiaChokepoints,LNG flows via the Bab el-Mandeb were near zero in 2024 and 1H25 (Table 4).,auto,2026-09-14,
red-sea-houthi-reroute,baseline,babElMandeb|suez|goodHope|crude-gulf-europe-cape|products-india-europe,status,"After Houthi attacks on shipping began in November 2023, some vessels switched to longer, costlier routes around the Cape of Good Hope.",November 2023,,2023–2025,eiaChokepoints,"However, after Yemen-based Houthi militia attacks on commercial ships transiting the Red Sea started in November 2023, some vessels began taking longer, more costly routes around the Cape of Good Hope, which avoids the Bab el-Mandeb as well as the Suez Canal.",auto,2026-09-14,
gulf-europe-via-suez,baseline,crude-gulf-europe-suez|products-gulf-europe,corridor,"Before 2024, most Gulf petroleum and gas exports to Europe passed through Suez or SUMED, Bab el-Mandeb and Hormuz.",2024,,before 2024,eiaChokepoints,"Prior to 2024, most exports of petroleum and natural gas from the Persian Gulf to Europe and the Atlantic coast of North America passed through the Suez Canal or the SUMED pipeline and both the Bab el-Mandeb and the Strait of Hormuz.",auto,2026-09-14,
russia-top-suez,baseline,suez|babElMandeb|crude-russia-baltic-india|crude-blacksea-india,exporter,In H1 2025 Russia moved more crude through the Suez Canal and Bab el-Mandeb than any other country.,,,H1 2025,eiaChokepoints,"In 1H25, Russia moved more crude oil and condensate through the Suez Canal and the Bab el-Mandeb than any other country.",auto,2026-09-14,
russia-west-to-india,baseline,crude-russia-baltic-india|crude-blacksea-india,exporter,"Since the war in Ukraine began in February 2022, most of Russia’s western exports have shifted from Europe to Asia, mainly India.",February 2022,,since 2022,eiaChokepoints,"After the war in Ukraine began in February 2022, most of Russia’s exports from the west of the country shifted from Europe to Asia, mainly India.",auto,2026-09-14,
cape-oil-1h25,baseline,goodHope,chokepoint,"About 9.1 Mb/d of seaborne oil, 11% of the total, went around the Cape in H1 2025, 3 Mb/d more than in 2022.",9.1,Mb/d,H1 2025,eiaChokepoints,"We estimate about 9.1 million b/d of seaborne-traded crude oil and petroleum products, or 11% of all seaborne-traded oil, went around the cape in both directions in 1H25, an increase of 3 million b/d from 2022 (Table 8).",auto,2026-09-14,
cape-crude-row,baseline,goodHope|crude-gulf-europe-cape,chokepoint,"Crude around the Cape: 5.1 Mb/d in 2023, 6.1 Mb/d in H1 2025.",6.1,Mb/d,H1 2025,eiaChokepoints,Crude oil and condensate 6.5 5.8 4.9 5.1 5.8 6.1,auto,2026-09-14,"EIA table row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
cape-products-row,baseline,goodHope|products-india-europe,chokepoint,"Petroleum products around the Cape: 1.1 Mb/d in 2023, 3.4 Mb/d in 2024, 2.9 Mb/d in H1 2025.",2.9,Mb/d,H1 2025,eiaChokepoints,Petroleum products 1.3 1.4 1.1 1.1 3.4 2.9,auto,2026-09-14,"EIA table row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
cape-lng-row,baseline,goodHope|lng-qatar-europe,chokepoint,"LNG around the Cape: 2.1 Bcf/d in 2023, 7.8 Bcf/d in 2024, 5.7 Bcf/d in H1 2025.",5.7,Bcf/d,H1 2025,eiaChokepoints,LNG flows around the cape (billion cubic feet per day) 3.5 3.3 1.5 2.1 7.8 5.7,auto,2026-09-14,"EIA table row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
cape-crude-origins,baseline,goodHope|crude-wafrica-china|crude-brazil-china,chokepoint,"Crude going around the Cape came mostly from West Africa (28%), South America and Mexico (29%) and the United States (23%).",28%,share,H1 2025,eiaChokepoints,"Most of the crude oil flows going around the cape originated from the United States (23%), West Africa (28%), and South America and Mexico (29%) (Figure 14).",auto,2026-09-14,
cape-crude-eastbound,baseline,goodHope|crude-wafrica-china|crude-brazil-china,chokepoint,Most crude going around the Cape moved eastbound to Asian markets: 5.2 Mb/d in H1 2025.,5.2,Mb/d,H1 2025,eiaChokepoints,Most crude oil volumes traveling around the cape move eastbound to Asian markets (5.2 million b/d) in 1H25.,auto,2026-09-14,
cape-15-days,baseline,goodHope|crude-gulf-europe-cape,chokepoint,Diverting tankers from Suez and SUMED around the Cape adds about 15 days from the Arabian Sea to Europe.,15,days,structural,eiaChokepoints,"For example, closure of the Suez Canal and the SUMED Pipeline would require oil tankers to divert around the cape, adding approximately 15 days to transit from the Arabian Sea to Europe.",auto,2026-09-14,
panama-oil-fy25,baseline,panama|products-usgulf-southamerica,chokepoint,"More than 2.3 Mb/d of oil went through Panama in FY2025, about 2.2 Mb/d of it refined products.",2.2,Mb/d,FY2025 (Oct 2024–Sep 2025),eiaChokepoints,"More than 2.3 million b/d of petroleum and other liquids were transported through the canal in FY 2025 (October 1, 2024–September 30, 2025), most of which (about 2.2 million b/d) were refined oil products (Table 7).",auto,2026-09-14,
panama-share-3,baseline,panama|lng-us-japan,chokepoint,Panama carried only 3% of global maritime oil flows in FY2025 but is an important route for products and for LNG from the US Gulf Coast to western South America and Asia.,3%,share,FY2025,eiaChokepoints,"Although only 3% of total global maritime petroleum and petroleum product flows went through the Panama Canal in FY2025, the waterway is an important route for petroleum products—which, unlike crude oil, travel on smaller vessels able to navigate the narrow canal—and LNG traveling from the U.S. Gulf Coast to western South America and to Asia.",auto,2026-09-14,
turkish-oil-1h25,baseline,turkishStraits|crude-blacksea-india|grain-ukraine-egypt|grain-russia-egypt,chokepoint,"An estimated 3.7 Mb/d of oil flowed through the Turkish Straits in H1 2025, 5% of maritime trade.",3.7,Mb/d,H1 2025,eiaChokepoints,"An estimated 3.7 million b/d of crude oil and petroleum products flowed through the Turkish Straits in 1H25, equivalent to 5% of global maritime trade.",auto,2026-09-14,Dardanelles measurement; EIA gives 3.3 Mb/d for the Bosporus.
bosporus-row,baseline,turkishStraits,chokepoint,Oil through the Bosporus: 3.3 Mb/d in H1 2025.,3.3,Mb/d,H1 2025,eiaChokepoints,Total oil flows through the Bosporus Strait 2.9 3.0 2.9 3.3 3.3 3.3,auto,2026-09-14,"EIA table row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
turkish-kazakhstan,baseline,turkishStraits|crude-blacksea-india,chokepoint,Kazakhstan is the largest exporter through the Turkish Straits.,,,H1 2025,eiaChokepoints,"Kazakhstan, the largest exporter through the Turkish Straits, and Russia increased crude oil and condensate sent through the straits by 400,000 b/d between 2022 and 1H25.",auto,2026-09-14,
danish-oil-1h25,baseline,danishStraits|crude-russia-baltic-india|products-russia-turkey|fert-russia-brazil,chokepoint,"An estimated 4.9 Mb/d of oil flowed through the Danish Straits in H1 2025, 6% of maritime trade.",4.9,Mb/d,H1 2025,eiaChokepoints,"An estimated 4.9 million b/d of crude oil and petroleum products flowed through the Danish Straits in 1H25, equivalent to 6% of global maritime trade.",auto,2026-09-14,
danish-russia-asia-turkiye,baseline,danishStraits|crude-russia-baltic-india|products-russia-turkey,exporter,"Russia remained the largest oil exporter through the Danish Straits in H1 2025, shipping most of it to Asia and Türkiye rather than western Europe.",,,H1 2025,eiaChokepoints,"Although Russia remained the largest oil exporter through the Danish Straits in 1H25, it shipped most of these volumes from the Baltic Sea to Asia and Türkiye, instead of to western Europe and the United States, representing a shift from the historical pattern.",auto,2026-09-14,
petroline-design,baseline,petroline|crude-yanbu-europe,infrastructure,The East-West (Petroline) system has two lines with a total design capacity of 5 mb/d.,5,mb/d,2025,ieaHormuz,The system is composed of two lines with a total design capacity of 5 mb/d of crude oil.,auto,2026-09-14,
petroline-used,baseline,petroline|crude-yanbu-europe,infrastructure,"As of early 2026 about 2 mb/d of Petroline capacity was used, leaving 3 to 5 mb/d spare.",2,mb/d,"early 2026, before the war",ieaHormuz,"As of early 2026, it is estimated that about 2 mb/d of the pipeline’s capacity is used, leaving between 3 and 5 mb/d of spare capacity",auto,2026-09-14,
petroline-attack,current,petroline|crude-yanbu-europe,status,"Iran attacked Saudi Arabia’s East-West pipeline in April 2026, cutting throughput by roughly 700,000 b/d.","700,000",b/d,2026-04,hormuzBypass,"Saudi's East-West pipeline was attacked by Iran in April , cutting throughput by roughly 700,000 barrels per day.",auto,2026-09-14,
saudi-red-sea-shift,baseline,crude-yanbu-europe,exporter,Saudi volumes through Suez and SUMED fell only 10% from 2023 to 2024 as Saudi Arabia exported more via the East-West pipeline and Red Sea terminals.,10%,change,2023–2024,eiaChokepoints,Saudi volumes transiting Suez and SUMED declined only 10% as Saudi Arabia increased exports via the East-West crude oil pipeline and Red Sea terminals.,auto,2026-09-14,
adcop-capacity,baseline,adcop|crude-fujairah-india,infrastructure,"ADCOP, from Habshan to Fujairah, has a nameplate capacity of 1.5 mb/d, reportedly close to 1.8 mb/d today.",1.5,mb/d,2025,ieaHormuz,The original nameplate capacity of the line is 1.5 mb/d with a reported current capacity close to 1.8 mb/d.,auto,2026-09-14,
adcop-use,baseline,adcop|crude-fujairah-india,infrastructure,"The UAE exports around 1.1 mb/d of crude via ADCOP, leaving room for up to 700 kb/d more.",1.1,mb/d,2025,ieaHormuz,"The UAE exports around 1.1 mb/d of domestic crude via this route, leaving room for up to 700 kb/d of additional volumes in the case of a Strait closure.",auto,2026-09-14,
uae-new-pipeline,baseline,adcop,infrastructure,By 2027 the UAE plans another 1.5 million b/d pipeline from Jebel Dhanna to Fujairah.,1.5,million b/d,2027,eiaChokepoints,"By 2027, the UAE plans to build another 1.5 million b/d pipeline circumventing the strait, from the Jebel Dhanna export terminal to Fujairah.",auto,2026-09-14,
goreh-jask,baseline,gorehJask,infrastructure,"The Goreh-Jask pipeline has a reported capacity of 1 mb/d, but the pipeline and port effectively remain non-operational.",1,mb/d,2025,ieaHormuz,"The pipeline has a reported capacity of 1 mb/d. However, the pipeline and port effectively remain non-operational.",auto,2026-09-14,
russia-oil-2025,baseline,crude-russia-baltic-india|crude-russia-pacific-china|crude-blacksea-india|products-russia-turkey,exporter,"Russia exported about 238 million tons of oil in 2025, around 4.8 million b/d, according to Deputy PM Novak.",238,million tons,2025,russiaOil,"Last year, Russian oil exports were about 238 million tons, or around 4.8 million barrels per day (bpd), basically flat compared to the 240 million tons Russia exported in 2024, according to Russia’s top oil official representing Moscow at the OPEC+ meetings.",auto,2026-09-14,
russia-oil-80-china-india,baseline,crude-russia-baltic-india|crude-russia-pacific-china|crude-blacksea-india,exporter,Russia exports around 80% of its oil to India and China (Novak).,80%,share,2025,russiaOil,"Today, Russia exports around 80% of its oil to India and China, Novak was quoted as saying by the Russian news agency TASS .",auto,2026-09-14,
russia-oil-europe-25,baseline,crude-russia-baltic-india,exporter,"Russia sent 25 million tons of oil to Europe in 2025, against 175 million tons a year previously (Novak).",25,million tons,2025,russiaOil,"Russia sent 25 million tons to Europe last year, compared to 175 million tons per year previously, Novak said.",auto,2026-09-14,
vortexa-india-20,baseline,crude-russia-baltic-india|crude-blacksea-india,importer,"Russian oil fell to 20% of India’s crude imports in February 2026 (about 1.1 mbd), from 36% in November 2025.",20%,share,2026-02,vortexaRussia,"The share of Russian oil in India’s total crude imports has been on a downward revision since last December, falling to 20% this February (~1.1mbd, days 1-24), compared to 36% in November 2025.",auto,2026-09-14,
vortexa-china-18,baseline,crude-russia-pacific-china,importer,"Russian oil rose to 18% of China’s seaborne crude imports in February 2026 (about 1.9 mbd), from 11% in November 2025.",18%,share,2026-02,vortexaRussia,"In contrast, share of Russian oil in China’s total seaborne crude imports rose to 18% in February, reflective of ~1.9mbd (days 1-24), compared to 11% last November.",auto,2026-09-14,
espo-kozmino-loadings,baseline,crude-russia-pacific-china,corridor,"ESPO loadings from Kozmino were expected at 4 million tons (about 970,000 bpd) in July 2025; Chinese refiners buy a lot of ESPO crude.","970,000",bpd,2025-07,espoOilprice,"ESPO loadings from Kozmino are expected at 4 million tons, or about 970,000 barrels per day (bpd) in July, up from 3.6 million tons in June.",auto,2026-09-14,The same article states: “Chinese refiners are buying a lot of ESPO crude from Russia”.
us-crude-exports-2025,baseline,crude-usgulf-europe,exporter,The United States exported 4.0 million b/d of crude in 2025.,4.0,million b/d,2025,eiaUsCrude,"In 2025, the United States exported 4.0 million b/d of crude oil, 85 times as much as in 2011, but slightly less than in 2023 and 2024.",auto,2026-09-14,
us-crude-europe-top,baseline,crude-usgulf-europe,corridor,Europe became the top destination for US crude exports in 2023.,2023,,2023–2025,eiaUsCrude,Europe became the top export destination in 2023 following the effects of the war in Ukraine and the inclusion of West Texas Intermediate (WTI) crude oil in Dated Brent; exports to Europe increased further in 2024.,auto,2026-09-14,
us-crude-netherlands,baseline,crude-usgulf-europe,corridor,"The Netherlands imported about 80,000 b/d more US crude in 2025, although overall exports to Europe decreased.","80,000",b/d,2025,eiaUsCrude,"Although overall crude oil exports to Europe decreased in 2025, the Netherlands imported about 80,000 b/d more U.S.",auto,2026-09-14,Quote truncated at a line break in the source (“…more U.S. crude oil”).
angola-china-58,baseline,crude-wafrica-china,corridor,China took 58.57% of Angola’s crude exports in 2025.,58.57,percent,2025,angolaExports,"China remained Angola’s largest crude oil buyer in 2025, accounting for 58.57 percent of total exports.",auto,2026-09-14,
angola-exports-2025,baseline,crude-wafrica-china,exporter,Angola exported 357.10 million barrels of crude in 2025.,357.10,million barrels,2025,angolaExports,"bringing total annual exports to 357.10 million barrels, according to the Ministry of Mineral Resources, Petroleum and Gas.",auto,2026-09-14,
brazil-crude-china-45,baseline,crude-brazil-china,corridor,"China absorbed 45% of Brazil’s exported crude volume in 2025, across 28 destinations.",45%,share,2025,brazilCrude,"Throughout the year, exports reached 28 destinations, with China absorbing 45% of the exported volume.",auto,2026-09-14,
guyana-europe-66,baseline,crude-guyana-europe,corridor,"In 2024, 66% of Guyana’s oil exports went to Europe and 29% to the United States.",66,percent,2024,guyanaDestinations,"In 2024, Guyana’s oil exports primarily went to Europe (66 percent) and the United States (29 percent).",auto,2026-09-14,
guyana-production-late-2025,baseline,crude-guyana-europe,exporter,"Guyana was producing roughly 900,000 barrels per day as of late 2025.","900,000",barrels per day,late 2025,guyanaDestinations,"As of late 2025, Guyana was producing roughly 900,000 barrels per day",auto,2026-09-14,
guyana-quarter-billion,baseline,crude-guyana-europe,exporter,"Guyana’s average oil output in 2025 was above 700,000 bpd, highest in the final quarter.","700,000",bpd,2025,guyanaOil,"Average national output for the year stood above 700,000 bpd, with the highest rates recorded in the final quarter.",auto,2026-09-14,
guyana-stabroek,baseline,crude-guyana-europe,infrastructure,"All Guyanese crude comes from the Stabroek block, in production since 2019.",2019,,2019–2024,eiaGuyana,"Since starting production in 2019, Guyana has increased its crude oil production to 645,000 barrels per day (b/d) as of early 2024, all from the Stabroek block.",auto,2026-09-14,
eu-diesel-russia-50,baseline,products-gulf-europe|products-india-europe|products-usgulf-europe,importer,"Russia supplied 50% of Europe’s diesel imports in 2022, before the EU ban (Vortexa data).",50%,share,2022,eiaDieselEurope,"Before the ban, Russia supplied a significant portion of Europe’s diesel imports, accounting for 50% in 2022, according to data from Vortexa.",auto,2026-09-14,
eu-diesel-mideast-us,baseline,products-gulf-europe|products-usgulf-europe,importer,"After the ban, Europe imported more diesel from the Middle East and the United States.",,,2023–2025,eiaDieselEurope,The ban reoriented trade flows as Europe imported more diesel from the Middle East and the United States rather than Russia.,auto,2026-09-14,
reliance-europe-july,current,products-india-europe,corridor,"About 4 to 5 million barrels of diesel were loaded at Jamnagar for Europe in July 2026, back to pre-war levels.",5 million,barrels,2026-07,relianceDiesel,About 4 million to 5 million barrels of the industrial and transport fuel were loaded at the refiner’s Jamnagar site this month for Europe,auto,2026-09-14,
reliance-diesel-2025,baseline,products-india-europe,exporter,Reliance’s diesel exports were at three-year highs in 2025 (Kpler).,,,2025,relianceDiesel,"Its diesel exports were at three-year highs in 2025, Kpler data showed.",auto,2026-09-14,
us-distillate-brazil,baseline,products-usgulf-brazil,corridor,"US distillate exports to Brazil averaged 103,000 bpd in 2025, more than double 2024.",103 000,bpd,2025,hydroFuels,"In 2025, distillate exports to Brazil averaged 103 000 bpd, more than double their 2024 volume but below volumes from 2022 or earlier.",auto,2026-09-14,
