route_id,commodity,sub,name,from_port,to_port,chokepoints,status,status_fact,weight,vessel_class,distance_nm,distance_fact,transit_fact,lead_fact,sellers,buyers,why_it_matters,context_facts,situation
crude-blacksea-india,crude,,Russia (Black Sea) → India,novorossiysk,vadinar,turkishStraits|suez|babElMandeb,normal,,3,suezmax,4200,crude-blacksea-india-distance,crude-blacksea-india-transit,russia-india-discharges,"Russia and Caspian producers loading in the Black Sea, with Kazakhstan the largest exporter through the Turkish Straits.",India.,"Part of the western Russian crude swung from Europe to India, crossing both the Turkish Straits and Suez.",russia-india-discharges|turkish-kazakhstan|russia-west-to-india,Indian imports of Russian crude rose again after Hormuz closed.
crude-usgulf-europe,crude,,United States (Gulf of Mexico) → Europe,corpusChristi,rotterdam,,normal,,3,aframax,,,,us-crude-europe-top,"The United States, from its Gulf Coast.","European refiners, the top destination for US crude since 2023.","US crude gained ground in Europe after the war in Ukraine, on an Atlantic crossing with no chokepoint.",us-crude-europe-top|us-crude-exports-2025|us-crude-netherlands,
crude-wafrica-china,crude,,Angola → China,soyo,ningbo,goodHope|malacca,normal,,2,vlcc,10355,crude-wafrica-china-distance,,angola-china-58,Angola.,"China, by far Angola’s largest crude buyer.",West African crude is one of the big flows rounding the Cape eastbound to Asia.,angola-china-58|cape-crude-origins|cape-crude-eastbound,
crude-brazil-china,crude,,Brazil (pre-salt) → China,tupi,qingdao,goodHope|malacca,normal,,3,vlcc,12449,crude-brazil-china-distance,crude-brazil-china-transit,brazil-crude-china-45,"Brazil, from its pre-salt fields.","China, the leading buyer of Brazilian crude.",South American crude is among the largest flows going around the Cape to Asia.,brazil-crude-china-45|cape-crude-origins|cape-crude-eastbound,
products-gulf-europe,products,,Persian Gulf → Europe (diesel & jet fuel),jubail,rotterdam,hormuz|babElMandeb|suez,disrupted,hormuz-transits-portwatch,3,lr2,,,products-gulf-europe-transit,eu-diesel-mideast-us,Gulf refiners.,"Europe, which turned to Middle Eastern and US diesel after banning Russian products.","Gulf diesel filled part of the gap left by Russian barrels, though most Gulf products still go to Asia.",eu-diesel-mideast-us|eu-diesel-russia-50|iea-products-5,Halted by the Hormuz closure.
products-india-europe,products,,India → Europe (via the Cape),jamnagar,rotterdam,goodHope,rerouted,red-sea-houthi-reroute,3,lr2,,,products-india-europe-transit,reliance-diesel-2025,"India, led by the Jamnagar refining complex.",European diesel importers.,"Indian diesel sails to Europe around the Cape, where product traffic jumped after the Red Sea attacks.",reliance-diesel-2025|eu-diesel-russia-50|cape-products-row,Indian diesel loadings for Europe recovered in July 2026 to pre-war levels.
products-usgulf-brazil,products,,United States → Brazil (diesel & gasoline),houston,santos,,normal,,3,mr,,,,us-distillate-brazil,US Gulf Coast refiners.,Brazil.,US distillate exports to Brazil more than doubled in a year.,us-distillate-brazil,
products-usgulf-europe,products,,US Gulf → Europe (diesel),houston,rotterdam,,normal,,2,mr,5275,products-usgulf-europe-distance,,us-distillate-netherlands,US Gulf Coast refiners.,"Europe, with the Netherlands and the United Kingdom as main outlets.",US diesel is one of Europe’s replacements for Russian products since the EU ban.,us-distillate-netherlands|us-distillate-uk-record|eu-diesel-mideast-us,
products-russia-turkey,products,,Russia (Baltic) → Turkey & the Mediterranean,primorsk,mersin,danishStraits,reduced,turkey-diesel-june-2026,2,,,,,turkey-diesel-russia-85,"Russia, from its Baltic ports.","Turkey, which buys most of its diesel from Russia.","Turkey depends on Russian diesel, and Baltic cargoes now head to Türkiye rather than north-west Europe.",turkey-diesel-russia-85|danish-russia-asia-turkiye,"Deliveries fell in mid-2026 after Ukrainian strikes on Russian refineries, and Moscow halted diesel exports in July."
products-gulf-eafrica,products,,Persian Gulf → East Africa,ruwais,mombasa,hormuz,disrupted,kenya-enoc-stuck,2,mr,,,,kenya-gtog,"Saudi Arabia and the UAE, through their state oil companies.",Kenya.,Kenya imports its fuel under a government-to-government deal with Gulf suppliers.,kenya-gtog|iea-uae-2025,The Hormuz closure trapped a cargo in Dubai and pushed Kenyan importers to buy expensive loads outside the deal.
products-usgulf-southamerica,products,,United States → South American Pacific coast (via Panama),houston,mejillones,panama,normal,,3,mr,,,products-usgulf-southamerica-transit,us-distillate-chile,US Gulf Coast refiners.,Chile and other Pacific-coast importers.,"Chile is the second-largest outlet for US distillate, and refined products dominate oil traffic through Panama.",us-distillate-chile|panama-oil-fy25,
lng-qatar-china,lng,,Qatar → China,rasLaffan,ningbo,hormuz|malacca,disrupted,qatar-lng-cut-20,4,lng-carrier,,,,qatar-china-20mt,"Qatar, the second-largest LNG exporter.","China, the largest buyer of Qatari LNG.","Asia takes most Qatari LNG, and Qatar-to-China cargoes are a growing share of the gas crossing Malacca.",qatar-china-20mt|qatar-lng-2025|malacca-qatar-china-lng,"Halted: with no alternative route, the closure has cut off about a fifth of global LNG supply, most of it Qatari."
lng-qatar-europe,lng,,Qatar → Europe (via the Cape),rasLaffan,zeebrugge,hormuz|goodHope,disrupted,qatar-lng-cut-20,3,lng-carrier,,,lng-qatar-europe-transit,italy-qatar-33,Qatar.,"European importers, with Italy the most dependent on Qatari LNG.","Europe takes only a small share of the LNG leaving Hormuz, but some countries rely heavily on it.",italy-qatar-33|iea-hormuz-lng-asia|qatar-europe-2023,Europe’s imports of Qatari LNG fell from March 2026 as the closure limited Qatari exports.
lng-us-europe,lng,,United States → Europe,sabinePass,zeebrugge,,normal,,5,lng-carrier,,,,us-lng-europe-68,"The United States, the world’s largest LNG exporter.","Europe, which received most US cargoes.","Most US cargoes go to Europe, where LNG imports grew faster than in any other region.",us-lng-europe-68|lng-top3-exporters|europe-lng-up-29,
lng-us-japan,lng,,United States → Japan (via Panama),sabinePass,chiba,panama,normal,,2,lng-carrier,,,lng-us-japan-transit,us-lng-panama-japan-days,The United States.,Japan and other Asian importers.,Panama gives US LNG a much shorter route to Japan than the Cape or Suez.,us-lng-panama-japan-days|lng-top3-exporters,
lng-australia-japan,lng,,Australia (North West Shelf) → Japan,karratha,chiba,lombok,normal,,4,lng-carrier,,,,aus-lng-markets-2024,"Australia, one of the three largest LNG exporters.","Japan, one of Australia’s two largest LNG markets.",A major LNG trade on a route with no Middle East exposure.,aus-lng-markets-2024|lng-top3-exporters,Japan was again Australia’s largest LNG market in the first half of 2026.
lng-australia-china,lng,,Australia (Queensland) → China,gladstone,ningbo,,normal,,3,lng-carrier,,,,aus-lng-markets-2024,Australia.,"China, the largest LNG importer and Australia’s largest LNG customer in 2024.","Chinese demand shapes Australian LNG exports, and it softened as China’s LNG imports fell.",aus-lng-markets-2024|china-lng-imports-2025|china-lng-down-15,
lng-yamal-europe,lng,,Russia (Yamal) → Europe,sabetta,zeebrugge,,normal,,2,arc7-lng,2750,lng-yamal-europe-distance,lng-yamal-europe-transit,yamal-eu-15mt,"Russia, from the Yamal LNG plant.","EU importers, which take most Yamal cargoes.","Yamal is a sizeable share of EU LNG imports, with an EU ban on Russian LNG approaching.",yamal-eu-15mt|yamal-eu-share|eu-russian-lng-ban,EU imports from Yamal reached a record in the first half of 2026.
lng-yamal-china-nsr,lng,,Russia (Yamal) → China via the Northern Sea Route,sabetta,ningbo,,reduced,yamal-asia-down-74,1,arc7-lng,,,,yamal-china-summer-2025,"Russia, from the Yamal LNG plant.",China.,The Northern Sea Route opens a summer outlet to Asia for Arctic LNG.,yamal-china-summer-2025,Asia-bound Yamal volumes collapsed in the first half of 2026 as Europe absorbed the plant’s output.
coal-indonesia-china,coal,,Indonesia → China,taboneo,ningbo,,normal,,5,panamax,,,,china-coal-indonesia-2025,"Indonesia, the world’s top coal exporter.","China, the world’s largest coal importer.",Indonesian coal flows to China swing with Chinese stocks and demand.,china-coal-indonesia-2025|coal-exporters-2024|coal-china-imports-2025,
coal-indonesia-india,coal,,Indonesia → India,taboneo,paradip,sunda,normal,,4,panamax,,,,coal-indonesia-india-9m,Indonesia.,"India, where Indonesia remains the main supplier.","India’s power sector depends on seaborne coal, and Indonesian shipments are losing share to South Africa and Russia.",coal-indonesia-india-9m|coal-india-imports-2025|coal-exporters-2024,
coal-australia-japan,coal,,Australia → Japan,newcastleAu,chiba,,normal,,4,capesize,,,,australia-coal-japan-30,Australia.,"Japan, historically the largest market for Australian coal.",Japan remains a core buyer of Australian coal even as its share shrinks.,australia-coal-japan-30|coal-australia-asia-80,
coal-australia-china,coal,,Australia → China (metallurgical coal),hayPoint,ningbo,,normal,,3,capesize,,,,coal-china-imports-2025,"Australia, from its Queensland coking coal ports.",Chinese steelmakers.,"Australian coking coal feeds Chinese steel mills, in a market sensitive to China’s import appetite.",coal-australia-asia-80|coal-china-imports-2025|coal-exporters-2024,Australian coking coal shipments to China jumped in June 2026.
coal-australia-korea,coal,,Australia → South Korea,newcastleAu,ulsan,,normal,,3,capesize,,,,korea-coal-australia-dec-2025,Australia.,"South Korea, where Australia is the largest coal supplier.",Australia is Korea’s largest coal supplier while Korean imports decline.,korea-coal-australia-dec-2025|coal-japan-korea-9m,
coal-southafrica-india,coal,,South Africa → India,richardsBay,mundra,,normal,,2,panamax,,,,coal-southafrica-india-9m,South Africa.,"India, the main outlet for South African coal.",South African coal is gaining share in India at Indonesia’s expense.,coal-southafrica-india-9m|coal-india-imports-2025,
coal-russia-china,coal,,Russia (Far East) → China,vostochny,ningbo,,normal,,3,panamax,,,,coal-russia-china-9m,"Russia, from its Far East ports.",China.,"Russia sends most of its coal to Asia, and China is a key outlet partly served by rail.",coal-russia-china-9m|coal-exporters-2024,
iron-australia-china,iron,,Australia (Pilbara) → China,portHedland,qingdao,lombok,normal,,5,capesize,,,iron-australia-china-transit,iron-australia-9m,"Australia, the largest seaborne iron ore exporter.","China, which absorbs most seaborne iron ore.","The workhorse of global dry bulk, on a short haul to North Asia.",iron-australia-9m|iron-china-74|iron-pilbara-north-asia,
iron-brazil-china,iron,,Brazil → China,pontaMadeira,qingdao,goodHope|malacca,normal,,5,vloc,,,,iron-brazil-china-62,"Brazil, the second-largest seaborne iron ore exporter.","China, the main buyer of Brazilian ore.",A long-haul trade that keeps large ore carriers employed for weeks per voyage.,iron-brazil-china-62|iron-brazil-9m|iron-brazil-china-days,
iron-brazil-europe,iron,,Brazil → Europe,tubarao,rotterdam,,normal,,2,capesize,,,,brazil-iron-europe-dec-2025,Brazil.,"European steelmakers, a modest share of seaborne ore demand.",Europe is a small but steady outlet for Brazilian ore beside China.,brazil-iron-europe-dec-2025|iron-japan-korea-europe,
iron-australia-japan,iron,,Australia → Japan & Korea,dampier,chiba,lombok,normal,,3,capesize,,,,iron-japan-korea-europe,Australia.,"Japan and South Korea, the next largest ore importers after China.",North Asian steelmakers outside China rely on the same Pilbara ore flows.,iron-japan-korea-europe|iron-pilbara-north-asia,
iron-guinea-china,iron,,Guinea (Simandou) → China,morebaya,majishan,goodHope|malacca,new,simandou-first-cargo,2,newcastlemax,11187,iron-guinea-china-distance,iron-guinea-china-transit,simandou-first-cargo,"Guinea, from the new Simandou project.",China.,Simandou adds a large new source of iron ore for China outside Australia and Brazil.,simandou-first-cargo|simandou-capacity|iron-china-74,
grain-brazil-china,grain,,Brazil → China (soybeans),santos,qingdao,goodHope|malacca,normal,,5,kamsarmax,,,,brazil-soy-china-79,"Brazil, record soybean exporter.","China, which takes most Brazilian soybeans.","China takes most of Brazil’s record soybean exports, and Brazil has also overtaken the US as China’s corn supplier.",brazil-soy-china-79|brazil-soy-2025|brazil-corn-china,
grain-usgulf-china,grain,,United States (Mississippi) → China (via Panama),swPass,qingdao,panama,normal,,3,panamax,,,grain-usgulf-china-transit,us-soy-china-one-cargo,US farmers and exporters shipping from the Mississippi Gulf.,"China, historically the largest buyer of US soybeans.",US–China trade policy decides this flow: purchases collapsed in 2025 before a trade deal.,us-soy-china-one-cargo|china-no-us-soy-sept-2025|us-china-soy-deal,
grain-uspnw-japan,grain,,United States (Pacific Northwest) → Japan,columbiaRiver,chiba,,normal,,3,panamax,,,,us-wheat-japan,US wheat growers shipping from the Pacific Northwest.,Japanese flour millers.,Japan is a steady buyer of US wheat.,us-wheat-japan,
grain-ukraine-egypt,grain,,Ukraine → Egypt & North Africa,pivdennyi,alexandria,turkishStraits,normal,,3,panamax,,,,egypt-ukraine-wheat,"Ukraine, shipping through the Odesa ports.","Egypt, a major wheat importer.",Ukrainian wheat has been winning share in Egypt as Russia’s dominance there weakens.,egypt-ukraine-wheat|ukraine-grain-2526|ukraine-odesa-ports,
grain-russia-egypt,grain,,Russia → Egypt & the Middle East (wheat),novorossiysk,alexandria,turkishStraits,normal,,3,supramax,,,,russia-egypt-10mt,"Russia, a leading grain exporter shipping mostly wheat.","Egypt, the second buyer of Russian grain after Turkey.",Egypt buys Russian grain almost entirely as wheat.,russia-egypt-10mt|russia-grain-2526,
grain-argentina-china,grain,,Argentina → China (soy),rosario,qingdao,goodHope|malacca,normal,,3,panamax,,,,argentina-soy-china,"Argentina, which mostly exports soybean meal and oil.",China.,Argentine soy sales to China ran well above average in 2025.,argentina-soy-china|argentina-meal-oil,
grain-australia-china,grain,,Australia → China (barley),kwinana,ningbo,sunda,normal,,2,,,,,aus-barley-china-70,Australia.,"China, which takes most Australian barley.",Barley is one of Australia’s most China-dependent grain exports.,aus-barley-china-70|aus-barley-2425,
metals-guinea-china,metals,aluminium,Guinea → China (bauxite),kamsar,qingdao,goodHope|malacca,normal,,4,capesize,,,metals-guinea-china-transit,guinea-bauxite-china-74,Guinea.,Chinese alumina refiners.,"Guinea supplies most of China’s bauxite, and a record share of its shipments went to China.",guinea-bauxite-china-74|guinea-bauxite-2025|china-bauxite-imports-2025,
metals-chile-china,metals,copper,Chile → China (copper concentrate),mejillones,ningbo,,normal,,3,supramax,,,,china-cu-chile-peru,"Chile, a leading copper producer.",Chinese copper smelters.,Chile is China’s largest source of copper concentrate.,china-cu-chile-peru|chile-cu-mine-2025|china-cu-conc-2025,
metals-peru-china,metals,copper,Peru → China (copper concentrate),callao,ningbo,,normal,,3,supramax,,,,china-cu-chile-peru,Peru.,Chinese copper smelters.,Peru is China’s second source of copper concentrate.,china-cu-chile-peru|china-cu-conc-2025,
fert-gulf-brazil,fertilizer,,Qatar → Brazil (urea),mesaieed,paranagua,hormuz|goodHope,disrupted,hormuz-transits-portwatch,3,supramax,,,,brazil-urea-aug-2025,"Qatar, one of the Gulf urea exporters.","Brazilian farmers, who rely on imports for almost all their fertilizer.","Brazil’s crops depend on imported nitrogen, and a large share of traded urea comes from the Gulf.",brazil-urea-aug-2025|brazil-npk-99|hormuz-fertilizer-share,"Blocked at Hormuz, like the other Gulf urea exporters."
fert-gulf-india,fertilizer,,Persian Gulf → India (urea),ruwais,mundra,hormuz,disrupted,hormuz-transits-portwatch,3,supramax,,,,india-urea-gulf-70,Gulf urea producers.,"India, which bought most of its urea imports from Gulf countries.","Indian agriculture depends on Gulf urea, much of it from producers inside Hormuz.",india-urea-gulf-70|rystad-urea-india|rystad-urea-hormuz,"Blocked at Hormuz, like the other Gulf urea exporters."
fert-morocco-brazil,fertilizer,,Morocco → Brazil (phosphates),jorfLasfar,santos,,normal,,2,,,,,brazil-phosphate-morocco,"Morocco, holder of by far the largest phosphate rock reserves.","Brazil, whose phosphate imports come mainly from Morocco and Russia.",Moroccan phosphate is a mainstay of Brazilian crop nutrition.,brazil-phosphate-morocco|morocco-phosphate-reserves|brazil-npk-99,
fert-russia-brazil,fertilizer,,Russia (Baltic) → Brazil (potash & NPK),ustLuga,paranagua,danishStraits,normal,,3,,,,,brazil-potash-russia,"Russia, from its Baltic ports.","Brazil, which relies on Russia and Belarus for part of its potash.",Russian potash remains a key input for Brazilian agriculture.,brazil-potash-russia|brazil-npk-99,
metals-drc-china-copper,metals,copper,DR Congo → China (copper cathodes),durban,ningbo,malacca,normal,,4,container,,,,china-refined-cu-drc-43,The DR Congo.,"China, where the DRC is now the leading source of refined copper.",Congolese cathodes have become China’s main imported refined copper.,china-refined-cu-drc-43|drc-cu-mine-2025|china-refined-cu-2025,
metals-chile-japan-copper,metals,copper,Chile → Japan (copper concentrate),mejillones,chiba,,normal,,2,,,,,chile-japan-largest,Chile.,"Japanese copper smelters, for which Chile is the largest supplier.",Japan’s smelting industry depends on Chilean concentrate.,chile-japan-largest|chile-cu-mine-2025,
metals-australia-china-bauxite,metals,aluminium,Australia (Weipa) → China (bauxite),weipa,qingdao,,normal,,3,panamax,,,,china-bauxite-australia-2025,Australia.,Chinese alumina refiners.,"Australia is China’s second bauxite supplier, far behind Guinea.",china-bauxite-australia-2025|china-bauxite-imports-2025|australia-bauxite-2025,
metals-australia-china-alumina,metals,aluminium,Australia (Gladstone) → China (alumina),gladstone,ningbo,,normal,,3,,,,,australia-bauxite-2025,"Australia, which refines most of its bauxite into alumina at home.",Chinese aluminium smelters.,Australia supplied nearly all of China’s alumina imports in mid-2026.,australia-bauxite-2025|china-alumina-australia,Australia supplied nearly all of China’s surging alumina imports in mid-2026.
metals-uae-japan-aluminium,metals,aluminium,United Arab Emirates → Japan (primary aluminium),jebelAli,chiba,hormuz|malacca,disrupted,hormuz-transits-portwatch,3,,,,,japan-aluminium-uae-400kt,"The UAE, the largest Middle Eastern source of Japan’s aluminium.",Japanese metal importers.,Middle Eastern smelters supply a large share of Japan’s aluminium imports.,japan-aluminium-uae-400kt|mideast-aluminium-7mt,"Loading inside the Gulf, this metal is trapped by the Hormuz closure; Japanese premiums reached their highest in more than a decade."
metals-russia-japan-aluminium,metals,aluminium,Russia (Pacific) → Japan (primary aluminium),vostochny,niigata,,new,rusal-reroute-japan,2,,,,,japan-aluminium-russia-68kt,Russia.,"Japanese metal importers, which bought little Russian aluminium.",Japan bought far less aluminium from Russia than from the Middle East.,japan-aluminium-russia-68kt|japan-aluminium-uae-400kt,A corridor opened by the war: Rusal plans to divert metal from China to Japan to capture record premiums.
metals-indonesia-china-nickel,metals,nickel,Indonesia → China (nickel pig iron & ferronickel),morowali,ningbo,,normal,,5,,,,,indonesia-ni-jan-jul,Indonesia.,China.,Nearly all of Indonesia’s processed nickel goes to China.,indonesia-ni-jan-jul|indonesia-ni-npi,
metals-philippines-china-nickel,metals,nickel,Philippines → China (nickel ore),claver,rizhao,,normal,,4,supramax,,,,philippines-ni-china-indonesia,The Philippines.,Chinese nickel processors.,"Most Philippine nickel ore feeds Chinese plants, and Manila dropped its planned ban on raw ore exports.",philippines-ni-china-indonesia|philippines-ni-2024|philippines-ban-dropped,
metals-philippines-indonesia-nickel,metals,nickel,Philippines → Indonesia (nickel ore),claver,morowali,,new,philippines-ni-china-indonesia,3,ultramax,,,,indonesia-ni-ore-imports,The Philippines.,Indonesian nickel smelters.,Indonesia now imports ore to feed smelting capacity that outgrew its own supply.,indonesia-ni-ore-imports|philippines-ni-china-indonesia,
metals-australia-china-zinc,metals,zinc,Australia → China (zinc concentrate),townsville,lianyungang,,normal,,3,,,,,china-zinc-australia-peru,"Australia, holder of the largest zinc reserves.",Chinese zinc smelters.,"Australia is the leading supplier of zinc concentrate to China, in a tight concentrate market.",china-zinc-australia-peru|australia-zinc-reserves|zinc-conc-tight-2026,
metals-peru-china-zinc,metals,zinc,Peru → China (zinc & lead concentrates),callao,lianyungang,,normal,,3,,,,,china-zinc-australia-peru,Peru.,Chinese zinc smelters.,Peru is China’s second zinc concentrate supplier.,china-zinc-australia-peru|peru-zinc-mine-2025,
metals-indonesia-china-tin,metals,tin,Indonesia → China (tin),pangkalbalam,ningbo,,normal,,1,,,,,indonesia-tin-destinations,"Indonesia, the largest refined tin exporter.","China, the second destination of Indonesian tin.",China is one of the two main outlets for the world’s largest refined tin exporter.,indonesia-tin-destinations|indonesia-tin-largest-exporter,
crude-guyana-europe,crude,,Guyana → Europe,stabroek,rotterdam,,normal,,3,suezmax,,,,guyana-europe-66,"Guyana, producing from the Stabroek block.","European refiners, which take most Guyanese exports.",Guyana’s young offshore production mostly sails to Europe.,guyana-europe-66|guyana-stabroek|guyana-production-late-2025,
fert-canada-brazil,fertilizer,,Canada → Brazil (potash),vancouver,paranagua,panama,normal,,4,,,,,canada-potash-destinations,"Canada, the largest potash exporter.","Brazil, the second market for Canadian potash after the United States.",Brazil buys Canadian potash alongside Russian and Belarusian supply.,canada-potash-destinations|canada-potash-exports-2024|brazil-potash-russia,
fert-canada-china,fertilizer,,Canada → China (potash),vancouver,ningbo,,normal,,3,panamax,,,,canada-potash-destinations,Canada.,"China, a smaller outlet for Canadian potash.",Canada ships potash across the North Pacific to China alongside its main markets.,canada-potash-destinations|vancouver-potash-record,
grain-canada-china,grain,,Canada → China & Japan (wheat and canola),vancouver,qingdao,,normal,,4,,,,,vancouver-canola-tariffs,Western Canadian wheat and canola growers.,China and other Asian buyers.,"Record grain volumes pass through Vancouver, exposed to Chinese tariff decisions on canola.",vancouver-wheat-2025|vancouver-canola-tariffs|vancouver-china-us-two-thirds,
coal-colombia-europe,coal,,Colombia → Europe,puertoBolivar,rotterdam,,reduced,coal-colombia-2025-drop,2,capesize,,,,coal-puerto-bolivar-europe,Colombia.,"Europe, which takes about half the coal from Colombia’s main terminal.",Colombia’s coal exports are shrinking fast as its main outlet declines.,coal-puerto-bolivar-europe|coal-colombia-2025-drop|coal-colombia-2024,
metals-australia-china-lithium,metals,lithium,Australia → China (spodumene),bunbury,ningbo,lombok,normal,,4,panamax,,,,aus-spodumene-china-94,"Australia, shipping spodumene from Western Australia.","China, which takes almost all Australian spodumene.","The first link of the battery supply chain, though China is diversifying towards Africa.",aus-spodumene-china-94|china-spodumene-australia|bunbury-gateway,
metals-australia-indonesia-lithium,metals,lithium,Australia → Indonesia (spodumene),bunbury,morowali,lombok,normal,,1,panamax,,,,aus-spodumene-indonesia,Australia.,Indonesia.,A small but fast-growing outlet for Australian spodumene.,aus-spodumene-indonesia|aus-spodumene-h1-2025,
metals-drc-china-cobalt,metals,cobalt,DR Congo → China (cobalt hydroxide),durban,ningbo,malacca,reduced,drc-cobalt-shortfall,3,,,,,drc-cobalt-china-2024,The DR Congo.,Chinese cobalt refiners.,Congolese export policy directly sets the supply of cobalt feed to China.,drc-cobalt-china-2024|drc-cobalt-quota-2025|drc-cobalt-durban,
metals-southafrica-china-chrome,metals,ferroalloys,South Africa → China (chrome ore),richardsBay,ningbo,malacca,normal,,4,,,,,sa-chrome-china,South Africa.,China.,"China takes about half of South Africa’s chrome ore, even as Pretoria moves to restrict exports.",sa-chrome-china|sa-chrome-2025|sa-chrome-restrictions,
